countrycode,country,year,theta_no_schooling,theta_primary,theta_secondary,theta_tertiary,theta_sum,Z_no_schooling,Z_primary,Z_secondary,Z_tertiary,tilde_A,y_observed,K_over_Y,h,ln_y_rel_us,ln_tilde_A_rel_us,ln_K_over_Y_rel_us,ln_capital_factor_rel_us,ln_h_rel_us,ln_yhat_with_A_rel_us,ln_yhat_without_A_rel_us,residual
GRC,Greece,2010,0.0279,0.3406,0.36310000000000003,0.26839999999999997,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.5437678645883657,69958.304240378,5.908310517695822,2.9418528079986572,-0.5256414185592977,-0.16280784979107088,0.4774218266781094,0.23871091333905467,-0.2297670036685846,-0.1538639401206008,0.008943909670470068,-0.3717774784386969
GTM,Guatemala,2010,0.3124312431243124,0.46184618461846183,0.22552255225522552,0.00020002000200020003,0.9999999999999999,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,1.879162176687863,19479.84314540438,3.176160180040916,1.7620407342910767,-1.8041605833296153,-0.46562821609705174,-0.14326511882674198,-0.07163255941337097,-0.7423339478648883,-1.279594723375311,-0.8139665072782593,-0.5245658599543044
HKG,"China, Hong Kong SAR",2010,0.0628062806280628,0.1975197519751975,0.5675567556755675,0.1721172117211721,0.9999999999999999,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.511743514712815,110400.77100730452,4.523109244718689,3.1425347328186035,-0.06942371184719676,-0.17547710353179613,0.21026154789716678,0.10513077394858338,-0.1637768792959864,-0.23412320887919913,-0.05864610534740301,0.16469949703200237
HND,Honduras,2010,0.18719999999999998,0.5363,0.2253,0.0512,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.0297682436699205,11009.015923146731,3.5262285165788803,2.066002130508423,-2.3748262629650068,-0.3885326220527229,-0.03870920457315874,-0.019354602286579366,-0.5831911914037838,-0.9910784157430861,-0.6025457936903632,-1.3837478472219207
HRV,Croatia,2010,0.019299999999999998,0.0885,0.7093,0.18289999999999998,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.626806764669212,51609.66683478608,4.588216128482531,3.229398488998413,-0.8298318327269616,-0.13068529232685855,0.22455321003749695,0.11227660501874846,-0.13651069974851326,-0.15491938705662334,-0.024234094729764802,-0.6749124456703383
HTI,Haiti,2010,0.3511648835116488,0.3638636136386361,0.2746725327467253,0.010298970102989701,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,1.9237452686190442,4896.37951247478,7.763655725637898,1.6132984161376953,-3.185044772418859,-0.44218029619853905,0.7505152264661155,0.3752576132330577,-0.8305258043881625,-0.8974484873536439,-0.4552681911551048,-2.287596285065215
HUN,Hungary,2010,0.0028000000000000004,0.0181,0.7848,0.1943,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.692238434514783,60295.03105406812,4.247361510618529,3.274661064147949,-0.6742911328366556,-0.10608126353525926,0.14735987365466685,0.07367993682733341,-0.12259222145618276,-0.1549935481641086,-0.04891228462884935,-0.519297584672547
IDN,Indonesia,2010,0.09470000000000002,0.48240000000000005,0.34790000000000004,0.07500000000000001,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.1974916019485646,18284.036805433723,5.1444633873624745,2.4167702198028564,-1.8675124559742766,-0.30913771397816536,0.33898297049632564,0.1694914852481628,-0.4263745644704714,-0.5660207932004739,-0.2568830792223086,-1.301491662773803
IND,India,2010,0.4229,0.1563,0.33,0.0908,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.092852413652911,12027.559011771413,3.5965812920575795,1.9660980701446533,-2.286340228444411,-0.35792631619199833,-0.018954342289380977,-0.009477171144690487,-0.6327556897589013,-1.0001591770955902,-0.6422328609035918,-1.286181051348821
IRL,Ireland,2010,0.0084008400840084,0.18091809180918092,0.3681368136813682,0.44254425442544254,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.8032897990918224,128144.96339249457,4.209662384200304,3.031862735748291,0.07962132017150658,-0.06566058716896483,0.1384443552403951,0.06922217762019754,-0.19962939842002747,-0.19606780796879475,-0.13040722079982991,0.27568912814030133
